S.N.,Date,Traded Companies,Ticker,No. Of Transaction,High,Low,Close,Traded Shares,Amount,Open,Difference Rs.
1,11/2/2010,Nepal Life Insurance Co. Ltd.,NLIC,2,659,647,659,200,130600,647,"12.00 
                                            
"
2,11/3/2010,Nepal Life Insurance Co. Ltd.,NLIC,8,710,660,710,635,441400,659,"51.00 
                                            
"
3,11/4/2010,Nepal Life Insurance Co. Ltd.,NLIC,2,724,710,724,300,214400,710,"14.00 
                                            
"
4,11/9/2010,Nepal Life Insurance Co. Ltd.,NLIC,3,725,710,725,417,299143,724,"1.00 
                                            
"
5,11/11/2010,Nepal Life Insurance Co. Ltd.,NLIC,4,755,739,755,322,242540,725,"30.00 
                                            
"
6,11/14/2010,Nepal Life Insurance Co. Ltd.,NLIC,1,760,760,760,24,18240,755,"5.00 
                                            
"
7,11/15/2010,Nepal Life Insurance Co. Ltd.,NLIC,5,761,761,761,75,57075,760,"1.00 
                                            
"
8,11/16/2010,Nepal Life Insurance Co. Ltd.,NLIC,10,761,760,760,335,254660,761,"-1.00 
                                             
"
9,11/18/2010,Nepal Life Insurance Co. Ltd.,NLIC,1,760,760,760,120,91200,760,"0.00 
                                            
"
10,11/21/2010,Nepal Life Insurance Co. Ltd.,NLIC,2,760,760,760,60,45600,760,"0.00 
                                            
"
11,11/22/2010,Nepal Life Insurance Co. Ltd.,NLIC,3,755,750,755,53,39815,760,"-5.00 
                                             
"
12,11/23/2010,Nepal Life Insurance Co. Ltd.,NLIC,5,755,750,751,121,91257,755,"-4.00 
                                             
"
13,11/24/2010,Nepal Life Insurance Co. Ltd.,NLIC,4,750,750,750,455,341250,751,"-1.00 
                                             
"
14,11/25/2010,Nepal Life Insurance Co. Ltd.,NLIC,6,750,750,750,90,67500,750,"0.00 
                                            
"
15,11/28/2010,Nepal Life Insurance Co. Ltd.,NLIC,2,765,760,765,87,66345,750,"15.00 
                                            
"
16,11/29/2010,Nepal Life Insurance Co. Ltd.,NLIC,1,765,765,765,20,15300,765,"0.00 
                                            
"
17,11/30/2010,Nepal Life Insurance Co. Ltd.,NLIC,1,765,765,765,15,11475,765,"0.00 
                                            
"
18,12/5/2010,Nepal Life Insurance Co. Ltd.,NLIC,1,750,750,750,12,9000,765,"-15.00 
                                             
"
19,12/7/2010,Nepal Life Insurance Co. Ltd.,NLIC,9,735,710,722,249,179876,750,"-28.00 
                                             
"
20,12/8/2010,Nepal Life Insurance Co. Ltd.,NLIC,1,730,730,730,100,73000,722,"8.00 
                                            
"
21,12/9/2010,Nepal Life Insurance Co. Ltd.,NLIC,4,743,730,743,590,430960,730,"13.00 
                                            
"
22,12/13/2010,Nepal Life Insurance Co. Ltd.,NLIC,1,729,729,729,15,10935,743,"-14.00 
                                             
"
23,12/14/2010,Nepal Life Insurance Co. Ltd.,NLIC,3,715,715,715,155,110825,729,"-14.00 
                                             
"
24,12/16/2010,Nepal Life Insurance Co. Ltd.,NLIC,1,715,715,715,20,14300,715,"0.00 
                                            
"
25,12/20/2010,Nepal Life Insurance Co. Ltd.,NLIC,1,701,701,701,15,10515,715,"-14.00 
                                             
"
26,12/23/2010,Nepal Life Insurance Co. Ltd.,NLIC,3,701,701,701,45,31545,701,"0.00 
                                            
"
27,12/29/2010,Nepal Life Insurance Co. Ltd.,NLIC,5,715,700,715,1755,1237625,701,"14.00 
                                            
"
28,1/2/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,715,715,715,119,85085,715,"0.00 
                                            
"
29,1/3/2011,Nepal Life Insurance Co. Ltd.,NLIC,8,720,716,720,210,150900,715,"5.00 
                                            
"
